 CP19CA_c2.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.47065000 Hartree 
50   50

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 81
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   20.2974           0.1214           2.3595          27.6349    HO
   26.8938           0.1609           2.3216          25.2977    HO
   53.1806           0.3181           2.1745          19.6458    HO
   59.4768           0.3558           2.1402          18.7212    HO
   64.8998           0.3882           2.1110          18.0011    HO
   74.0378           0.4428           2.0624          16.9160    HO
  106.9114           0.6395           1.8942          13.9086    HO
  142.3666           0.8515           1.7242          11.5973    HO
  169.3893           1.0132           1.6023          10.2184    HO
  171.2191           1.0241           1.5943          10.1339    HO
  183.6639           1.0986           1.5406           9.5849    HO
  201.1738           1.2033           1.4674           8.8799    HO
  239.0472           1.4298           1.3181           7.5729    HO
  246.1178           1.4721           1.2916           7.3564    HO
  252.3711           1.5095           1.2685           7.1712    HO
  325.3753           1.9462           1.0223           5.3679    HO
  342.4273           2.0482           0.9708           5.0242    HO
  358.5843           2.1448           0.9239           4.7205    HO
  423.9551           2.5358           0.7529           3.6762    HO
  453.7922           2.7143           0.6842           3.2819    HO
  455.7108           2.7258           0.6800           3.2580    HO
  473.1614           2.8301           0.6425           3.0491    HO
  514.2261           3.0758           0.5613           2.6087    HO
  555.5444           3.3229           0.4887           2.2292    HO
  566.7093           3.3897           0.4706           2.1364    HO
  599.1244           3.5836           0.4212           1.8877    HO
  631.8411           3.7793           0.3761           1.6653    HO
  663.6885           3.9697           0.3364           1.4734    HO
  713.9912           4.2706           0.2813           1.2131    HO
  742.2361           4.4396           0.2541           1.0870    HO
  762.4692           4.5606           0.2362           1.0046    HO
  779.8813           4.6647           0.2216           0.9385    HO
  790.6354           4.7291           0.2131           0.8998    HO
  808.5620           4.8363           0.1995           0.8387    HO
  869.7822           5.2025           0.1588           0.6587    HO
  877.5179           5.2487           0.1543           0.6388    HO
  902.5486           5.3984           0.1404           0.5783    HO
  918.0261           5.4910           0.1324           0.5438    HO
  944.2416           5.6478           0.1198           0.4897    HO
 1004.0119           6.0053           0.0952           0.3851    HO
 1028.9024           6.1542           0.0865           0.3483    HO
 1046.6869           6.2606           0.0807           0.3240    HO
 1076.0582           6.4363           0.0719           0.2876    HO
 1132.5881           6.7744           0.0576           0.2283    HO
 1146.6905           6.8587           0.0544           0.2155    HO
 1169.3743           6.9944           0.0497           0.1963    HO
 1181.8263           7.0689           0.0473           0.1865    HO
 1197.0568           7.1600           0.0445           0.1751    HO
 1207.1169           7.2202           0.0428           0.1680    HO
 1224.7539           7.3257           0.0398           0.1562    HO
 1254.3190           7.5025           0.0354           0.1382    HO
 1287.1768           7.6990           0.0310           0.1205    HO
 1293.9859           7.7398           0.0301           0.1171    HO
 1326.6758           7.9353           0.0264           0.1022    HO
 1339.1625           8.0100           0.0250           0.0970    HO
 1348.7323           8.0672           0.0241           0.0932    HO
 1351.5162           8.0839           0.0238           0.0921    HO
 1361.6663           8.1446           0.0228           0.0883    HO
 1432.8506           8.5704           0.0170           0.0654    HO
 1435.7251           8.5876           0.0168           0.0646    HO
 1453.2736           8.6925           0.0157           0.0600    HO
 1510.4370           9.0344           0.0124           0.0471    HO
 1525.4690           9.1243           0.0116           0.0442    HO
 1525.6138           9.1252           0.0116           0.0442    HO
 1538.0838           9.1998           0.0110           0.0419    HO
 1554.8250           9.2999           0.0103           0.0390    HO
 1592.2897           9.5240           0.0088           0.0332    HO
 1655.8636           9.9043           0.0067           0.0253    HO
 1686.7822          10.0892           0.0059           0.0222    HO
 1852.5115          11.0805           0.0029           0.0108    HO
 3072.0086          18.3747           0.0000           0.0000    HO
 3079.7938          18.4213           0.0000           0.0000    HO
 3091.1030          18.4889           0.0000           0.0000    HO
 3112.6434          18.6178           0.0000           0.0000    HO
 3134.7393          18.7499           0.0000           0.0000    HO
 3148.9018          18.8346           0.0000           0.0000    HO
 3152.8821          18.8584           0.0000           0.0000    HO
 3221.6370          19.2697           0.0000           0.0000    HO
 3244.8433          19.4085           0.0000           0.0000    HO
 3291.6619          19.6885           0.0000           0.0000    HO
 3656.2739          21.8694           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       564.8389

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        48.2487

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       179.0678
 S rotational                   =       143.5347
 S vibrational HO               =       265.9277

 Stotal Harmonic oscillator     =       588.5302
 Hcorr                          =       613.0875
 Gcorr                          =       437.6173

