 CP22CA.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.54595400 Hartree 
58   58

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 87
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   18.2108           0.1089           2.3716          28.5362    HO
   20.9980           0.1256           2.3555          27.3530    HO
   36.7187           0.2196           2.2658          22.7137    HO
   50.2345           0.3005           2.1906          20.1173    HO
   73.3032           0.4385           2.0663          16.9981    HO
   73.9298           0.4422           2.0630          16.9280    HO
  104.5284           0.6252           1.9061          14.0920    HO
  110.6501           0.6618           1.8757          13.6293    HO
  150.5740           0.9006           1.6864          11.1502    HO
  173.1631           1.0357           1.5858          10.0453    HO
  192.8128           1.1533           1.5020           9.2074    HO
  193.8900           1.1597           1.4975           9.1643    HO
  236.1799           1.4127           1.3290           7.6629    HO
  240.4603           1.4383           1.3128           7.5290    HO
  251.0086           1.5014           1.2735           7.2111    HO
  272.4019           1.6293           1.1967           6.6146    HO
  275.7520           1.6494           1.1850           6.5265    HO
  316.5439           1.8934           1.0499           5.5559    HO
  338.6139           2.0254           0.9821           5.0989    HO
  358.8105           2.1462           0.9233           4.7164    HO
  389.1472           2.3276           0.8403           4.1983    HO
  390.8414           2.3378           0.8359           4.1712    HO
  447.5859           2.6772           0.6981           3.3602    HO
  453.6938           2.7137           0.6844           3.2831    HO
  456.2674           2.7291           0.6788           3.2512    HO
  498.8937           2.9840           0.5905           2.7652    HO
  532.7027           3.1863           0.5278           2.4317    HO
  541.9644           3.2417           0.5116           2.3475    HO
  553.8459           3.3127           0.4915           2.2437    HO
  569.2754           3.4050           0.4665           2.1156    HO
  587.1470           3.5119           0.4389           1.9761    HO
  600.0831           3.5893           0.4198           1.8808    HO
  614.8549           3.6777           0.3990           1.7774    HO
  653.0313           3.9060           0.3493           1.5351    HO
  663.7129           3.9699           0.3364           1.4733    HO
  692.5253           4.1422           0.3038           1.3182    HO
  754.6859           4.5140           0.2429           1.0356    HO
  762.5092           4.5608           0.2361           1.0044    HO
  790.3775           4.7275           0.2133           0.9007    HO
  803.4540           4.8057           0.2032           0.8557    HO
  866.2134           5.1811           0.1610           0.6681    HO
  870.3011           5.2056           0.1585           0.6574    HO
  875.5198           5.2368           0.1555           0.6439    HO
  886.0623           5.2998           0.1494           0.6175    HO
  892.1034           5.3360           0.1461           0.6029    HO
  901.7341           5.3936           0.1408           0.5802    HO
  920.0804           5.5033           0.1314           0.5393    HO
  928.8950           5.5560           0.1271           0.5207    HO
  973.2641           5.8214           0.1072           0.4359    HO
 1013.7044           6.0633           0.0917           0.3703    HO
 1028.2605           6.1504           0.0867           0.3492    HO
 1075.9189           6.4354           0.0720           0.2878    HO
 1135.6411           6.7926           0.0569           0.2255    HO
 1159.6832           6.9365           0.0517           0.2043    HO
 1165.8280           6.9732           0.0504           0.1992    HO
 1170.2054           6.9994           0.0496           0.1956    HO
 1197.3540           7.1618           0.0445           0.1749    HO
 1254.6809           7.5047           0.0353           0.1380    HO
 1293.7332           7.7383           0.0301           0.1173    HO
 1294.9989           7.7458           0.0300           0.1167    HO
 1319.5020           7.8924           0.0271           0.1053    HO
 1339.5171           8.0121           0.0250           0.0969    HO
 1348.7076           8.0671           0.0241           0.0932    HO
 1352.3223           8.0887           0.0237           0.0918    HO
 1432.8352           8.5703           0.0170           0.0654    HO
 1442.4699           8.6279           0.0164           0.0628    HO
 1468.9379           8.7862           0.0147           0.0562    HO
 1510.4998           9.0348           0.0123           0.0471    HO
 1515.8243           9.0667           0.0121           0.0460    HO
 1525.2779           9.1232           0.0116           0.0442    HO
 1525.2873           9.1233           0.0116           0.0442    HO
 1537.9869           9.1992           0.0110           0.0419    HO
 1591.8193           9.5212           0.0088           0.0333    HO
 1659.6883           9.9271           0.0066           0.0249    HO
 1680.6628          10.0526           0.0060           0.0228    HO
 1853.5098          11.0865           0.0029           0.0108    HO
 3071.9950          18.3746           0.0000           0.0000    HO
 3079.9117          18.4220           0.0000           0.0000    HO
 3092.1507          18.4952           0.0000           0.0000    HO
 3112.9155          18.6194           0.0000           0.0000    HO
 3135.6092          18.7551           0.0000           0.0000    HO
 3149.5858          18.8387           0.0000           0.0000    HO
 3152.9788          18.8590           0.0000           0.0000    HO
 3223.6166          19.2815           0.0000           0.0000    HO
 3264.2342          19.5245           0.0000           0.0000    HO
 3293.6756          19.7006           0.0000           0.0000    HO
 3657.8301          21.8787           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       571.1511

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        54.1097

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       181.4066
 S rotational                   =       147.9265
 S vibrational HO               =       303.3066

 Stotal Harmonic oscillator     =       632.6397
 Hcorr                          =       625.2608
 Gcorr                          =       436.6393

