 NM3CA_c2.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.47065000 Hartree 
50   50

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 81
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
    4.6469           0.0278           2.4513          39.8897    HO
   17.4708           0.1045           2.3759          28.8809    HO
   27.5848           0.1650           2.3176          25.0871    HO
   56.0847           0.3355           2.1586          19.2063    HO
   68.4338           0.4093           2.0921          17.5641    HO
   76.2539           0.4561           2.0508          16.6735    HO
  114.9273           0.6874           1.8548          13.3216    HO
  130.7552           0.7821           1.7786          12.2797    HO
  146.5403           0.8765           1.7049          11.3666    HO
  168.9629           1.0106           1.6042          10.2382    HO
  194.5249           1.1635           1.4949           9.1390    HO
  230.3527           1.3778           1.3513           7.8500    HO
  230.4650           1.3785           1.3509           7.8464    HO
  249.1675           1.4904           1.2803           7.2654    HO
  250.5766           1.4988           1.2751           7.2238    HO
  323.9710           1.9378           1.0267           5.3973    HO
  333.1771           1.9928           0.9985           5.2076    HO
  348.8088           2.0863           0.9520           4.9018    HO
  373.5683           2.2344           0.8821           4.4564    HO
  430.3378           2.5740           0.7378           3.5880    HO
  467.6112           2.7969           0.6543           3.1140    HO
  474.3378           2.8372           0.6401           3.0355    HO
  516.0181           3.0865           0.5580           2.5910    HO
  544.4811           3.2567           0.5073           2.3252    HO
  583.8047           3.4919           0.4440           2.0015    HO
  601.0678           3.5952           0.4184           1.8737    HO
  652.9561           3.9055           0.3494           1.5355    HO
  655.4523           3.9205           0.3463           1.5209    HO
  713.6361           4.2685           0.2817           1.2148    HO
  722.4392           4.3212           0.2729           1.1740    HO
  761.8273           4.5567           0.2367           1.0071    HO
  786.9623           4.7071           0.2159           0.9128    HO
  790.5036           4.7283           0.2132           0.9003    HO
  863.4414           5.1645           0.1627           0.6755    HO
  893.0220           5.3415           0.1455           0.6007    HO
  894.9778           5.3532           0.1445           0.5960    HO
  901.9357           5.3948           0.1407           0.5798    HO
  927.1044           5.5453           0.1279           0.5244    HO
  929.8043           5.5615           0.1266           0.5188    HO
  970.1279           5.8027           0.1085           0.4414    HO
 1014.1208           6.0658           0.0916           0.3697    HO
 1028.2531           6.1503           0.0867           0.3492    HO
 1076.1485           6.4368           0.0719           0.2875    HO
 1131.0684           6.7653           0.0579           0.2297    HO
 1147.4254           6.8631           0.0543           0.2148    HO
 1151.1830           6.8856           0.0535           0.2115    HO
 1169.6871           6.9963           0.0497           0.1960    HO
 1196.1914           7.1548           0.0447           0.1758    HO
 1201.3048           7.1854           0.0438           0.1721    HO
 1234.1498           7.3819           0.0384           0.1502    HO
 1257.2590           7.5201           0.0349           0.1365    HO
 1281.8332           7.6671           0.0316           0.1232    HO
 1292.9161           7.7334           0.0302           0.1177    HO
 1297.3041           7.7596           0.0297           0.1155    HO
 1339.4431           8.0117           0.0250           0.0969    HO
 1347.6248           8.0606           0.0242           0.0936    HO
 1350.1262           8.0756           0.0239           0.0926    HO
 1383.9836           8.2781           0.0208           0.0804    HO
 1432.3813           8.5676           0.0171           0.0656    HO
 1443.4095           8.6335           0.0163           0.0626    HO
 1481.7991           8.8631           0.0139           0.0532    HO
 1510.2741           9.0335           0.0124           0.0471    HO
 1518.8374           9.0847           0.0119           0.0455    HO
 1523.6489           9.1135           0.0117           0.0445    HO
 1525.1897           9.1227           0.0116           0.0442    HO
 1538.0826           9.1998           0.0110           0.0419    HO
 1597.3724           9.5544           0.0086           0.0325    HO
 1669.6827           9.9869           0.0063           0.0239    HO
 1689.6909          10.1066           0.0058           0.0219    HO
 1850.8208          11.0704           0.0029           0.0109    HO
 3071.5570          18.3720           0.0000           0.0000    HO
 3079.5960          18.4201           0.0000           0.0000    HO
 3090.3356          18.4843           0.0000           0.0000    HO
 3112.1759          18.6150           0.0000           0.0000    HO
 3133.8799          18.7448           0.0000           0.0000    HO
 3148.2185          18.8305           0.0000           0.0000    HO
 3152.4215          18.8557           0.0000           0.0000    HO
 3219.7682          19.2585           0.0000           0.0000    HO
 3252.0330          19.4515           0.0000           0.0000    HO
 3282.0220          19.6309           0.0000           0.0000    HO
 3655.5033          21.8648           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       564.0807

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        48.6911

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       179.0678
 S rotational                   =       145.1986
 S vibrational HO               =       288.2331

 Stotal Harmonic oscillator     =       612.4995
 Hcorr                          =       612.7719
 Gcorr                          =       430.1551

