 29.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.47065000 Hartree 
50   50

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 84
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
    8.2098           0.0491           2.4302          35.1581    HO
   18.4175           0.1102           2.3704          28.4424    HO
   51.0641           0.3054           2.1861          19.9817    HO
   52.5410           0.3143           2.1780          19.7459    HO
   60.6315           0.3627           2.1340          18.5625    HO
   74.8275           0.4476           2.0583          16.8288    HO
  111.6259           0.6677           1.8709          13.5580    HO
  124.5135           0.7448           1.8083          12.6737    HO
  146.4551           0.8760           1.7053          11.3712    HO
  172.0277           1.0290           1.5908          10.0969    HO
  189.3258           1.1324           1.5166           9.3488    HO
  226.0018           1.3518           1.3681           7.9935    HO
  240.1353           1.4363           1.3140           7.5391    HO
  250.7175           1.4996           1.2746           7.2196    HO
  307.8811           1.8415           1.0775           5.7475    HO
  312.1181           1.8669           1.0639           5.6529    HO
  337.9692           2.0215           0.9840           5.1117    HO
  347.7037           2.0797           0.9552           4.9228    HO
  372.3965           2.2274           0.8853           4.4765    HO
  379.0916           2.2675           0.8671           4.3630    HO
  419.7847           2.5109           0.7630           3.7351    HO
  458.9649           2.7452           0.6729           3.2180    HO
  464.8919           2.7807           0.6601           3.1464    HO
  489.1472           2.9258           0.6098           2.8695    HO
  533.9114           3.1935           0.5256           2.4206    HO
  543.0297           3.2480           0.5098           2.3380    HO
  598.9974           3.5828           0.4214           1.8886    HO
  649.5618           3.8852           0.3535           1.5557    HO
  677.0515           4.0497           0.3209           1.3994    HO
  711.1796           4.2538           0.2842           1.2264    HO
  744.7805           4.4548           0.2518           1.0763    HO
  754.1696           4.5109           0.2434           1.0376    HO
  772.4292           4.6202           0.2277           0.9663    HO
  777.4512           4.6502           0.2236           0.9475    HO
  802.0034           4.7971           0.2043           0.8606    HO
  837.6062           5.0100           0.1791           0.7481    HO
  901.7348           5.3936           0.1408           0.5802    HO
  927.6283           5.5485           0.1277           0.5233    HO
  940.3888           5.6248           0.1216           0.4973    HO
  954.4523           5.7089           0.1152           0.4700    HO
  969.1384           5.7967           0.1089           0.4432    HO
 1043.8454           6.2436           0.0816           0.3278    HO
 1053.5833           6.3018           0.0785           0.3151    HO
 1076.0338           6.4361           0.0719           0.2876    HO
 1142.6978           6.8349           0.0553           0.2190    HO
 1155.1229           6.9092           0.0526           0.2081    HO
 1165.3219           6.9702           0.0505           0.1996    HO
 1181.0150           7.0640           0.0475           0.1871    HO
 1184.2920           7.0836           0.0469           0.1846    HO
 1209.9052           7.2368           0.0423           0.1661    HO
 1230.6598           7.3610           0.0389           0.1524    HO
 1237.3358           7.4009           0.0379           0.1482    HO
 1273.4750           7.6171           0.0327           0.1276    HO
 1289.4197           7.7124           0.0307           0.1194    HO
 1300.3499           7.7778           0.0293           0.1141    HO
 1311.8781           7.8468           0.0280           0.1087    HO
 1333.2650           7.9747           0.0257           0.0994    HO
 1348.1673           8.0638           0.0241           0.0934    HO
 1372.1547           8.2073           0.0219           0.0845    HO
 1424.6151           8.5211           0.0176           0.0677    HO
 1432.3004           8.5671           0.0171           0.0656    HO
 1473.6698           8.8145           0.0144           0.0551    HO
 1509.4093           9.0283           0.0124           0.0473    HO
 1522.7176           9.1079           0.0117           0.0447    HO
 1524.0112           9.1156           0.0117           0.0445    HO
 1527.7518           9.1380           0.0115           0.0438    HO
 1538.0236           9.1994           0.0110           0.0419    HO
 1550.5281           9.2742           0.0104           0.0397    HO
 1585.7163           9.4847           0.0090           0.0342    HO
 1663.4331           9.9495           0.0065           0.0245    HO
 1687.8996          10.0959           0.0059           0.0221    HO
 1820.7371          10.8904           0.0033           0.0124    HO
 3051.8576          18.2542           0.0000           0.0001    HO
 3054.4803          18.2699           0.0000           0.0001    HO
 3072.3446          18.3767           0.0000           0.0000    HO
 3099.1232          18.5369           0.0000           0.0000    HO
 3134.5065          18.7485           0.0000           0.0000    HO
 3143.4471          18.8020           0.0000           0.0000    HO
 3150.4815          18.8441           0.0000           0.0000    HO
 3200.8656          19.1454           0.0000           0.0000    HO
 3240.6066          19.3832           0.0000           0.0000    HO
 3291.5366          19.6878           0.0000           0.0000    HO
 3633.9084          21.7356           0.0000           0.0000    HO
 3652.1211          21.8446           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       595.7802

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        49.5590

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       179.0241
 S rotational                   =       143.4892
 S vibrational HO               =       284.4293

 Stotal Harmonic oscillator     =       606.9425
 Hcorr                          =       645.3392
 Gcorr                          =       464.3793

