 29_c2.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.47065000 Hartree 
50   50

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 84
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   10.2209           0.0611           2.4183          33.3366    HO
   25.7023           0.1537           2.3284          25.6740    HO
   49.5960           0.2967           2.1941          20.2231    HO
   61.5015           0.3679           2.1293          18.4449    HO
   83.6570           0.5004           2.0122          15.9126    HO
   95.4808           0.5711           1.9516          14.8303    HO
  110.7750           0.6626           1.8751          13.6201    HO
  128.9200           0.7711           1.7873          12.3934    HO
  147.8043           0.8841           1.6991          11.2981    HO
  159.8379           0.9560           1.6446          10.6764    HO
  218.8617           1.3091           1.3961           8.2362    HO
  249.3440           1.4914           1.2797           7.2601    HO
  254.7643           1.5238           1.2598           7.1018    HO
  299.3885           1.7907           1.1051           5.9426    HO
  306.1887           1.8314           1.0829           5.7858    HO
  310.9462           1.8599           1.0676           5.6789    HO
  329.7312           1.9722           1.0089           5.2777    HO
  349.9201           2.0930           0.9488           4.8809    HO
  362.0917           2.1658           0.9140           4.6573    HO
  391.4723           2.3415           0.8342           4.1611    HO
  453.4954           2.7125           0.6849           3.2856    HO
  464.6769           2.7794           0.6605           3.1489    HO
  486.5379           2.9101           0.6150           2.8981    HO
  503.5576           3.0119           0.5815           2.7166    HO
  526.6240           3.1499           0.5386           2.4886    HO
  542.6385           3.2457           0.5105           2.3415    HO
  599.4016           3.5852           0.4208           1.8857    HO
  649.6944           3.8860           0.3534           1.5549    HO
  673.1391           4.0263           0.3254           1.4207    HO
  705.6044           4.2205           0.2899           1.2532    HO
  738.8223           4.4191           0.2573           1.1016    HO
  752.5641           4.5013           0.2448           1.0442    HO
  770.7295           4.6100           0.2292           0.9727    HO
  789.1524           4.7202           0.2142           0.9050    HO
  800.1390           4.7859           0.2057           0.8669    HO
  862.2603           5.1575           0.1634           0.6786    HO
  877.6379           5.2494           0.1542           0.6385    HO
  901.3346           5.3912           0.1410           0.5811    HO
  908.5937           5.4346           0.1372           0.5646    HO
  939.9364           5.6221           0.1218           0.4982    HO
  999.2146           5.9766           0.0970           0.3926    HO
 1003.3211           6.0012           0.0955           0.3862    HO
 1052.5886           6.2959           0.0789           0.3164    HO
 1062.0773           6.3526           0.0760           0.3044    HO
 1114.0049           6.6632           0.0619           0.2463    HO
 1153.9244           6.9020           0.0529           0.2092    HO
 1165.9855           6.9741           0.0504           0.1990    HO
 1176.4766           7.0369           0.0483           0.1906    HO
 1179.1787           7.0531           0.0478           0.1885    HO
 1217.4973           7.2823           0.0410           0.1609    HO
 1226.8103           7.3380           0.0395           0.1549    HO
 1234.9435           7.3866           0.0382           0.1497    HO
 1274.4245           7.6228           0.0326           0.1271    HO
 1300.7329           7.7801           0.0293           0.1139    HO
 1306.2451           7.8131           0.0286           0.1113    HO
 1322.5710           7.9107           0.0268           0.1040    HO
 1338.9717           8.0088           0.0251           0.0971    HO
 1369.7840           8.1931           0.0221           0.0853    HO
 1390.1017           8.3147           0.0203           0.0783    HO
 1408.7914           8.4265           0.0188           0.0724    HO
 1438.5620           8.6045           0.0166           0.0639    HO
 1454.3494           8.6989           0.0156           0.0597    HO
 1497.8141           8.9589           0.0130           0.0497    HO
 1500.8319           8.9770           0.0129           0.0491    HO
 1517.0715           9.0741           0.0120           0.0458    HO
 1526.0536           9.1278           0.0116           0.0441    HO
 1545.4429           9.2438           0.0107           0.0406    HO
 1566.8875           9.3721           0.0098           0.0370    HO
 1590.4569           9.5131           0.0088           0.0335    HO
 1662.0889           9.9415           0.0065           0.0247    HO
 1690.1153          10.1091           0.0058           0.0219    HO
 1813.6899          10.8483           0.0034           0.0128    HO
 3053.1384          18.2618           0.0000           0.0001    HO
 3072.9125          18.3801           0.0000           0.0000    HO
 3090.5996          18.4859           0.0000           0.0000    HO
 3098.8587          18.5353           0.0000           0.0000    HO
 3140.2292          18.7828           0.0000           0.0000    HO
 3150.9948          18.8472           0.0000           0.0000    HO
 3158.2004          18.8903           0.0000           0.0000    HO
 3222.8165          19.2767           0.0000           0.0000    HO
 3236.0108          19.3557           0.0000           0.0000    HO
 3289.8278          19.6776           0.0000           0.0000    HO
 3644.3597          21.7981           0.0000           0.0000    HO
 3655.4518          21.8645           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       596.9799

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        48.7605

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       179.0241
 S rotational                   =       143.1402
 S vibrational HO               =       270.4085

 Stotal Harmonic oscillator     =       592.5727
 Hcorr                          =       645.7404
 Gcorr                          =       469.0649

