 CP21.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.52712800 Hartree 
56   56

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 93
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   15.5387           0.0929           2.3872          29.8548    HO
   26.0451           0.1558           2.3264          25.5639    HO
   38.0102           0.2274           2.2586          22.4270    HO
   42.7200           0.2555           2.2322          21.4589    HO
   48.4983           0.2901           2.2002          20.4083    HO
   57.3762           0.3432           2.1516          19.0182    HO
   64.3910           0.3851           2.1137          18.0660    HO
   82.0016           0.4905           2.0207          16.0766    HO
  131.9128           0.7890           1.7731          12.2088    HO
  149.2752           0.8929           1.6924          11.2192    HO
  186.7582           1.1171           1.5275           9.4549    HO
  190.3708           1.1387           1.5122           9.3061    HO
  198.8912           1.1896           1.4768           8.9677    HO
  215.8054           1.2908           1.4083           8.3429    HO
  240.8888           1.4408           1.3112           7.5157    HO
  251.3705           1.5035           1.2722           7.2005    HO
  305.9404           1.8299           1.0838           5.7915    HO
  309.5457           1.8515           1.0721           5.7102    HO
  329.5356           1.9711           1.0095           5.2817    HO
  335.9503           2.0094           0.9901           5.1518    HO
  348.7348           2.0859           0.9522           4.9032    HO
  364.3779           2.1795           0.9075           4.6165    HO
  376.7868           2.2537           0.8733           4.4017    HO
  418.5978           2.5038           0.7659           3.7520    HO
  448.6526           2.6835           0.6957           3.3466    HO
  484.7741           2.8996           0.6186           2.9175    HO
  506.1157           3.0272           0.5766           2.6904    HO
  515.6681           3.0844           0.5586           2.5944    HO
  533.3739           3.1903           0.5266           2.4255    HO
  565.5661           3.3828           0.4724           2.1457    HO
  582.1475           3.4820           0.4465           2.0142    HO
  615.0977           3.6791           0.3986           1.7757    HO
  639.4268           3.8246           0.3663           1.6175    HO
  713.8110           4.2695           0.2815           1.2139    HO
  730.2401           4.3678           0.2654           1.1389    HO
  755.5498           4.5192           0.2422           1.0321    HO
  773.5616           4.6269           0.2268           0.9620    HO
  784.6918           4.6935           0.2177           0.9210    HO
  797.0954           4.7677           0.2081           0.8773    HO
  838.4592           5.0151           0.1785           0.7456    HO
  867.5652           5.1892           0.1602           0.6645    HO
  871.6949           5.2139           0.1577           0.6537    HO
  902.1111           5.3958           0.1406           0.5793    HO
  932.6501           5.5785           0.1253           0.5129    HO
  980.3243           5.8636           0.1044           0.4237    HO
 1008.0622           6.0296           0.0938           0.3789    HO
 1027.2111           6.1441           0.0870           0.3507    HO
 1043.2651           6.2401           0.0818           0.3286    HO
 1074.9811           6.4298           0.0722           0.2889    HO
 1102.7919           6.5962           0.0648           0.2579    HO
 1140.3641           6.8209           0.0558           0.2211    HO
 1157.0802           6.9209           0.0522           0.2065    HO
 1162.9260           6.9558           0.0510           0.2016    HO
 1165.2698           6.9699           0.0505           0.1996    HO
 1181.9364           7.0696           0.0473           0.1864    HO
 1213.4305           7.2579           0.0417           0.1637    HO
 1231.7804           7.3677           0.0387           0.1517    HO
 1235.6441           7.3908           0.0381           0.1493    HO
 1261.1904           7.5436           0.0344           0.1343    HO
 1279.1652           7.6511           0.0320           0.1246    HO
 1286.0208           7.6921           0.0311           0.1211    HO
 1300.4188           7.7782           0.0293           0.1140    HO
 1334.0805           7.9796           0.0256           0.0991    HO
 1339.2663           8.0106           0.0250           0.0970    HO
 1347.4404           8.0595           0.0242           0.0937    HO
 1356.0317           8.1109           0.0234           0.0904    HO
 1379.5253           8.2514           0.0212           0.0819    HO
 1424.3150           8.5193           0.0177           0.0678    HO
 1432.8694           8.5705           0.0170           0.0654    HO
 1454.1339           8.6977           0.0156           0.0598    HO
 1509.8688           9.0310           0.0124           0.0472    HO
 1522.9055           9.1090           0.0117           0.0447    HO
 1524.2669           9.1171           0.0117           0.0444    HO
 1535.2647           9.1829           0.0111           0.0424    HO
 1541.8873           9.2225           0.0108           0.0412    HO
 1554.9981           9.3010           0.0103           0.0390    HO
 1578.2274           9.4399           0.0093           0.0353    HO
 1657.3675           9.9133           0.0067           0.0252    HO
 1671.8379           9.9998           0.0063           0.0236    HO
 1825.8664          10.9211           0.0033           0.0122    HO
 3052.9877          18.2609           0.0000           0.0001    HO
 3057.0771          18.2854           0.0000           0.0001    HO
 3072.7144          18.3789           0.0000           0.0000    HO
 3099.2244          18.5375           0.0000           0.0000    HO
 3134.0434          18.7458           0.0000           0.0000    HO
 3143.7364          18.8037           0.0000           0.0000    HO
 3150.1154          18.8419           0.0000           0.0000    HO
 3202.7755          19.1569           0.0000           0.0000    HO
 3231.9113          19.3311           0.0000           0.0000    HO
 3236.0309          19.3558           0.0000           0.0000    HO
 3289.6887          19.6767           0.0000           0.0000    HO
 3636.6944          21.7523           0.0000           0.0000    HO
 3649.0401          21.8261           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       648.2907

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        55.3679

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       180.2933
 S rotational                   =       145.6530
 S vibrational HO               =       322.5402

 Stotal Harmonic oscillator     =       648.4865
 Hcorr                          =       703.6586
 Gcorr                          =       510.3124

