 CP19.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.47065000 Hartree 
50   50

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 84
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   17.2513           0.1032           2.3772          28.9860    HO
   19.7817           0.1183           2.3625          27.8487    HO
   51.9450           0.3107           2.1812          19.8403    HO
   54.7754           0.3276           2.1657          19.4016    HO
   60.2385           0.3603           2.1361          18.6161    HO
   70.8514           0.4238           2.0793          17.2781    HO
  104.4710           0.6249           1.9064          14.0965    HO
  136.6997           0.8176           1.7506          11.9226    HO
  162.4774           0.9718           1.6328          10.5468    HO
  179.6990           1.0748           1.5576           9.7552    HO
  187.9361           1.1241           1.5225           9.4060    HO
  206.6071           1.2358           1.4452           8.6753    HO
  238.2283           1.4249           1.3212           7.5985    HO
  242.5227           1.4506           1.3050           7.4655    HO
  255.5667           1.5286           1.2568           7.0788    HO
  320.5877           1.9175           1.0372           5.4689    HO
  334.8856           2.0031           0.9933           5.1732    HO
  353.2255           2.1128           0.9392           4.8190    HO
  386.6115           2.3125           0.8470           4.2392    HO
  417.8617           2.4994           0.7677           3.7625    HO
  427.2482           2.5555           0.7451           3.6304    HO
  456.7387           2.7319           0.6777           3.2453    HO
  473.3199           2.8311           0.6422           3.0472    HO
  493.2728           2.9504           0.6016           2.8249    HO
  519.3322           3.1063           0.5519           2.5586    HO
  565.4451           3.3821           0.4726           2.1467    HO
  599.1836           3.5839           0.4211           1.8872    HO
  629.8891           3.7676           0.3787           1.6778    HO
  655.1216           3.9185           0.3467           1.5228    HO
  724.1508           4.3314           0.2713           1.1662    HO
  744.5915           4.4537           0.2520           1.0771    HO
  754.4978           4.5129           0.2431           1.0363    HO
  774.4327           4.6321           0.2261           0.9587    HO
  776.8354           4.6465           0.2241           0.9498    HO
  804.0002           4.8090           0.2028           0.8539    HO
  840.8618           5.0295           0.1770           0.7385    HO
  902.2881           5.3969           0.1405           0.5789    HO
  921.0992           5.5094           0.1309           0.5371    HO
  927.9423           5.5503           0.1275           0.5227    HO
  954.2386           5.7076           0.1153           0.4705    HO
  978.4504           5.8524           0.1051           0.4269    HO
 1044.2536           6.2460           0.0815           0.3273    HO
 1046.3248           6.2584           0.0808           0.3245    HO
 1076.4379           6.4385           0.0718           0.2871    HO
 1142.8795           6.8359           0.0553           0.2189    HO
 1144.4694           6.8455           0.0549           0.2174    HO
 1165.5462           6.9715           0.0505           0.1994    HO
 1180.9399           7.0636           0.0475           0.1872    HO
 1181.9642           7.0697           0.0473           0.1864    HO
 1208.3028           7.2273           0.0426           0.1672    HO
 1219.2697           7.2929           0.0407           0.1598    HO
 1235.5781           7.3904           0.0381           0.1493    HO
 1283.1054           7.6747           0.0315           0.1226    HO
 1288.0711           7.7044           0.0308           0.1201    HO
 1301.7144           7.7860           0.0292           0.1134    HO
 1332.4016           7.9695           0.0257           0.0998    HO
 1347.3228           8.0588           0.0242           0.0937    HO
 1349.2109           8.0701           0.0240           0.0930    HO
 1361.8278           8.1455           0.0228           0.0882    HO
 1423.1103           8.5121           0.0177           0.0682    HO
 1433.2561           8.5728           0.0170           0.0653    HO
 1449.6133           8.6706           0.0159           0.0610    HO
 1509.3141           9.0277           0.0124           0.0473    HO
 1523.5045           9.1126           0.0117           0.0446    HO
 1524.7235           9.1199           0.0116           0.0443    HO
 1534.8734           9.1806           0.0112           0.0425    HO
 1543.3344           9.2312           0.0108           0.0410    HO
 1562.5106           9.3459           0.0099           0.0377    HO
 1577.4412           9.4352           0.0093           0.0354    HO
 1655.1664           9.9001           0.0067           0.0254    HO
 1687.8730          10.0957           0.0059           0.0221    HO
 1822.6967          10.9022           0.0033           0.0123    HO
 3052.7012          18.2592           0.0000           0.0001    HO
 3055.3638          18.2752           0.0000           0.0001    HO
 3072.2123          18.3759           0.0000           0.0000    HO
 3099.5484          18.5394           0.0000           0.0000    HO
 3134.9726          18.7513           0.0000           0.0000    HO
 3143.7249          18.8037           0.0000           0.0000    HO
 3149.7903          18.8399           0.0000           0.0000    HO
 3203.8761          19.1635           0.0000           0.0000    HO
 3245.9358          19.4150           0.0000           0.0000    HO
 3288.1871          19.6677           0.0000           0.0000    HO
 3636.0641          21.7485           0.0000           0.0000    HO
 3652.7182          21.8481           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       595.8443

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        49.4966

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       179.0241
 S rotational                   =       143.2738
 S vibrational HO               =       277.5389

 Stotal Harmonic oscillator     =       599.8367
 Hcorr                          =       645.3409
 Gcorr                          =       466.4996

